ClaimID,CustomerID,CreatedAt,ClosedAt,Status,SLA_Hours,Priority,Reason
1001,501,2026-02-01T09:12:00Z,2026-02-02T13:40:00Z,Closed,48,High,Accident
1002,501,2026-02-01T10:05:00Z,,Open,48,Medium,Billing
1003,502,2026-02-02T08:20:00Z,2026-02-02T17:10:00Z,Closed,24,Low,Device
1004,503,2026-02-02T12:45:00Z,,In Progress,48,High,Accident
1005,504,2026-02-03T07:55:00Z,2026-02-05T08:30:00Z,Closed,24,Medium,Fraud Review
1006,505,2026-02-03T11:00:00Z,,Open,24,High,Billing
1007,506,2026-02-04T09:10:00Z,2026-02-04T15:20:00Z,Closed,24,Low,Device
1008,507,2026-02-04T10:30:00Z,,Open,24,Medium,Accident
1009,508,2026-02-04T13:45:00Z,2026-02-06T09:05:00Z,Closed,48,High,Billing
1010,509,2026-02-05T08:05:00Z,,Open,24,Medium,Fraud Review
